source_family,conference,year,committee_type,source_url,final_url,status,local_html_path,rows_found
Public PC/review page,OOPSLA,2022,,https://2022.splashcon.org/committee/splash-2022-psla-review-committee,https://2022.splashcon.org/committee/splash-2022-psla-review-committee,fetched,step_1_data/raw/oopsla/researchr_pc_htmls/oopsla2022_pc_2026-06-09.html,47
Public PC/review page,OOPSLA,2023,,https://2023.splashcon.org/committee/splash-2023-oopsla-review-committee,https://2023.splashcon.org/committee/splash-2023-oopsla-review-committee,fetched,step_1_data/raw/oopsla/researchr_pc_htmls/oopsla2023_pc_2026-06-09.html,78
Public PC/review page,OOPSLA,2024,,https://2024.splashcon.org/committee/splash-2024-papers-review-committee,https://2024.splashcon.org/committee/splash-2024-papers-review-committee,fetched,step_1_data/raw/oopsla/researchr_pc_htmls/oopsla2024_pc_2026-06-09.html,108
Public PC/review page,OOPSLA,2025,,https://2025.splashcon.org/committee/splash-2025-OOPSLA-oopsla-review-committee,https://2025.splashcon.org/committee/splash-2025-OOPSLA-oopsla-review-committee,fetched,step_1_data/raw/oopsla/researchr_pc_htmls/oopsla2025_pc_2026-06-09.html,115
Public PC/review page,PLDI,2017,,https://conf.researchr.org/committee/pldi-2017/pldi-2017-program-committee,https://conf.researchr.org/committee/pldi-2017/pldi-2017-program-committee,fetched,step_1_data/raw/pldi/researchr_pc_htmls/pldi2017_pc_2026-06-09.html,36
Public PC/review page,PLDI,2018,,https://conf.researchr.org/committee/pldi-2018/pldi-2018-program-committee,https://conf.researchr.org/committee/pldi-2018/pldi-2018-program-committee,fetched,step_1_data/raw/pldi/researchr_pc_htmls/pldi2018_pc_2026-06-09.html,38
Public PC/review page,PLDI,2019,,https://conf.researchr.org/committee/pldi-2019/pldi-2019-papers-program-committee,https://conf.researchr.org/committee/pldi-2019/pldi-2019-papers-program-committee,fetched,step_1_data/raw/pldi/researchr_pc_htmls/pldi2019_pc_2026-06-09.html,39
Public PC/review page,PLDI,2020,,https://conf.researchr.org/committee/pldi-2020/pldi-2020-papers-program-committee,https://conf.researchr.org/committee/pldi-2020/pldi-2020-papers-program-committee,fetched,step_1_data/raw/pldi/researchr_pc_htmls/pldi2020_pc_2026-06-09.html,43
Public PC/review page,PLDI,2021,,https://conf.researchr.org/committee/pldi-2021/pldi-2021-papers-program-committee,https://conf.researchr.org/committee/pldi-2021/pldi-2021-papers-program-committee,fetched,step_1_data/raw/pldi/researchr_pc_htmls/pldi2021_pc_2026-06-09.html,126
Public PC/review page,PLDI,2022,,https://conf.researchr.org/committee/pldi-2022/pldi-2022-pldi-program-committee,https://conf.researchr.org/committee/pldi-2022/pldi-2022-pldi-program-committee,fetched,step_1_data/raw/pldi/researchr_pc_htmls/pldi2022_pc_2026-06-09.html,119
Public PC/review page,PLDI,2023,,https://pldi23.sigplan.org/committee/pldi-2023-pldi-review-committee,https://pldi23.sigplan.org/committee/pldi-2023-pldi-review-committee,fetched,step_1_data/raw/pldi/researchr_pc_htmls/pldi2023_pc_2026-06-09.html,113
Public PC/review page,PLDI,2024,,https://pldi24.sigplan.org/committee/pldi-2024-papers-pldi-review-committee,https://pldi24.sigplan.org/committee/pldi-2024-papers-pldi-review-committee,fetched,step_1_data/raw/pldi/researchr_pc_htmls/pldi2024_pc_2026-06-09.html,135
Public PC/review page,PLDI,2025,,https://pldi25.sigplan.org/committee/pldi-2025-papers-pldi-review-committee,https://pldi25.sigplan.org/committee/pldi-2025-papers-pldi-review-committee,fetched,step_1_data/raw/pldi/researchr_pc_htmls/pldi2025_pc_2026-06-09.html,137
Public PC/review page,POPL,2017,,https://popl17.sigplan.org/committee/popl-2017-papers-program-committee,https://popl17.sigplan.org/committee/popl-2017-papers-program-committee,fetched,step_1_data/raw/popl/researchr_pc_htmls/popl2017_pc_2026-06-09.html,29
Public PC/review page,POPL,2018,,https://popl18.sigplan.org/committee/popl-2018-papers-program-committee,https://popl18.sigplan.org/committee/popl-2018-papers-program-committee,fetched,step_1_data/raw/popl/researchr_pc_htmls/popl2018_pc_2026-06-09.html,52
