conference,conference_year,doi,dblp_title,dblp_url
PLDI,2019,https://doi.org/10.1145/3314221.3314652,Wootz: a compiler-based framework for fast CNN pruning via composability.,https://dblp.org/rec/conf/pldi/GuanSL19
PLDI,2019,https://doi.org/10.1145/3314221.3314606,A fast analytical model of fully associative caches.,https://dblp.org/rec/conf/pldi/GysiGBH19
PLDI,2019,https://doi.org/10.1145/3314221.3314618,Lazy counterfactual symbolic execution.,https://dblp.org/rec/conf/pldi/HallahanXBJP19
PLDI,2019,https://doi.org/10.1145/3314221.3314616,Continuously reasoning about programs using differential Bayesian inference.,https://dblp.org/rec/conf/pldi/HeoRSN19
PLDI,2019,https://doi.org/10.1145/3314221.3322485,Synthesis and machine learning for heterogeneous extraction.,https://dblp.org/rec/conf/pldi/IyerJPRR19
PLDI,2019,https://doi.org/10.1145/3314221.3314595,Towards certified separate compilation for concurrent programs.,https://dblp.org/rec/conf/pldi/JiangLXZF19
PLDI,2019,https://doi.org/10.1145/3314221.3314610,Computing summaries of string loops in C for better testing and refactoring.,https://dblp.org/rec/conf/pldi/KapusIIRC19
PLDI,2019,https://doi.org/10.1145/3314221.3314630,Type-level computations for Ruby libraries.,https://dblp.org/rec/conf/pldi/KazerounianGVFH19
PLDI,2019,https://doi.org/10.1145/3314221.3314644,Huron: hybrid false sharing detection and repair.,https://dblp.org/rec/conf/pldi/KhanZPMK19
PLDI,2019,https://doi.org/10.1145/3314221.3314602,Resource-guided program synthesis.,https://dblp.org/rec/conf/pldi/KnothWP019
PLDI,2019,https://doi.org/10.1145/3314221.3314609,Model checking for weakly consistent libraries.,https://dblp.org/rec/conf/pldi/Kokologiannakis19
PLDI,2019,https://doi.org/10.1145/3314221.3314653,Model-driven transformations for multi- and many-core CPUs.,https://dblp.org/rec/conf/pldi/KongP19
PLDI,2019,https://doi.org/10.1145/3314221.3314625,"A typed, algebraic approach to parsing.",https://dblp.org/rec/conf/pldi/KrishnaswamiY19
PLDI,2019,https://doi.org/10.1145/3314221.3314627,Toward efficient gradual typing for structural types via coercions.,https://dblp.org/rec/conf/pldi/KuhlenschmidtAS19
PLDI,2019,https://doi.org/10.1145/3314221.3314604,Robustness against release/acquire semantics.,https://dblp.org/rec/conf/pldi/LahavM19
PLDI,2019,https://doi.org/10.1145/3314221.3314634,SLING: using dynamic analysis to infer program invariants in separation logic.,https://dblp.org/rec/conf/pldi/LeZN19
PLDI,2019,https://doi.org/10.1145/3314221.3314593,Programming support for autonomizing software.,https://dblp.org/rec/conf/pldi/LeeLLMZ19
PLDI,2019,https://doi.org/10.1145/3314221.3314620,DFix: automatically fixing timing bugs in distributed systems.,https://dblp.org/rec/conf/pldi/LiLCGL19
PLDI,2019,https://doi.org/10.1145/3314221.3314607,"ILC: a calculus for composable, computational cryptography.",https://dblp.org/rec/conf/pldi/LiaoHM19
PLDI,2019,https://doi.org/10.1145/3314221.3314635,Sparse record and replay with controlled scheduling.,https://dblp.org/rec/conf/pldi/LidburyD19
PLDI,2019,https://doi.org/10.1145/3314221.3314611,Accelerating sequential consistency for Java with speculative compilation.,https://dblp.org/rec/conf/pldi/LiuMM19
PLDI,2019,https://doi.org/10.1145/3314221.3314622,Verified compilation on a verified processor.,https://dblp.org/rec/conf/pldi/LoowKTMNAF19
PLDI,2019,https://doi.org/10.1145/3314221.3314645,Sound regular expression semantics for dynamic symbolic execution of JavaScript.,https://dblp.org/rec/conf/pldi/LoringMK19
PLDI,2019,https://doi.org/10.1145/3314221.3314613,Supporting peripherals in intermittent systems with just-in-time checkpoints.,https://dblp.org/rec/conf/pldi/MaengL19
PLDI,2019,https://doi.org/10.1145/3314221.3314580,Data-trace types for distributed stream processing systems.,https://dblp.org/rec/conf/pldi/MamourasSAIT19
PLDI,2019,https://doi.org/10.1145/3314221.3314651,Parser-directed fuzzing.,https://dblp.org/rec/conf/pldi/MathisGMKHZ19
PLDI,2019,https://doi.org/10.1145/3314221.3314636,"Usuba: high-throughput and constant-time ciphers, by construction.",https://dblp.org/rec/conf/pldi/MercadierD19
PLDI,2019,https://doi.org/10.1145/3314221.3314646,Sparse computation data dependence simplification for efficient compiler-generated inspectors.,https://dblp.org/rec/conf/pldi/MohammadiYCDHDN19
PLDI,2019,https://doi.org/10.1145/3314221.3314643,Size-change termination as a contract: dynamically and statically enforcing termination for higher-order programs.,https://dblp.org/rec/conf/pldi/NguyenGTH19
PLDI,2019,https://doi.org/10.1145/3314221.3314629,SemCluster: clustering of imperative programming assignments based on quantitative semantic features.,https://dblp.org/rec/conf/pldi/PerryKSZ19
PLDI,2019,https://doi.org/10.1145/3314221.3314582,Mesh: compacting memory management for C/C++ applications.,https://dblp.org/rec/conf/pldi/PowersTB019
PLDI,2019,https://doi.org/10.1145/3314221.3314637,Renaissance: benchmarking suite for parallel applications on the JVM.,https://dblp.org/rec/conf/pldi/ProkopecRLD0SBZ19
PLDI,2019,https://doi.org/10.1145/3314221.3314624,Promising-ARM/RISC-V: a simpler and faster operational concurrency model.,https://dblp.org/rec/conf/pldi/PultePKLH19
PLDI,2019,https://doi.org/10.1145/3314221.3314600,Characterising renaming within OCaml&apos;s module system: theory and implementation.,https://dblp.org/rec/conf/pldi/RoweFTO19
PLDI,2019,https://doi.org/10.1145/3314221.3314583,"Transactional concurrency control for intermittent, energy-harvesting computing systems.",https://dblp.org/rec/conf/pldi/RuppelL19
PLDI,2019,https://doi.org/10.1145/3314221.3314626,"Sound, fine-grained traversal fusion for heterogeneous trees.",https://dblp.org/rec/conf/pldi/SakkaSN019
PLDI,2019,https://doi.org/10.1145/3314221.3322484,Verifying message-passing programs with dependent behavioural types.,https://dblp.org/rec/conf/pldi/ScalasYB19
PLDI,2019,https://doi.org/10.1145/3314221.3314608,AutoPersist: an easy-to-use Java NVM framework based on reachability.,https://dblp.org/rec/conf/pldi/ShullHT19
PLDI,2019,https://doi.org/10.1145/3314221.3314639,Scalable verification of probabilistic networks.,https://dblp.org/rec/conf/pldi/SmolkaKKFHK019
PLDI,2019,https://doi.org/10.1145/3314221.3314592,"Composable, sound transformations of nested recursion and loops.",https://dblp.org/rec/conf/pldi/Sundararajah019
PLDI,2019,https://doi.org/10.1145/3314221.3314599,Co-optimizing memory-level parallelism and cache-level parallelism.,https://dblp.org/rec/conf/pldi/TangKKA19
PLDI,2019,https://doi.org/10.1145/3314221.3314589,Lightweight multi-language syntax transformation with parser parser combinators.,https://dblp.org/rec/conf/pldi/TonderG19
PLDI,2019,https://doi.org/10.1145/3314221.3314586,Ignis: scaling distribution-oblivious systems with light-touch distribution.,https://dblp.org/rec/conf/pldi/VasilakisKPSDS19
PLDI,2019,https://doi.org/10.1145/3314221.3314631,LoCal: a language for programs operating on serialized data.,https://dblp.org/rec/conf/pldi/VollmerKRS0N19
PLDI,2019,https://doi.org/10.1145/3314221.3314581,Cost analysis of nondeterministic probabilistic programs.,https://dblp.org/rec/conf/pldi/Wang0GCQS19
PLDI,2019,https://doi.org/10.1145/3314221.3314650,Panthera: holistic memory management for big data processing over hybrid memories.,https://dblp.org/rec/conf/pldi/WangCCZVML0X19
PLDI,2019,https://doi.org/10.1145/3314221.3314619,Proving differential privacy with shadow execution.,https://dblp.org/rec/conf/pldi/WangDWKZ19
PLDI,2019,https://doi.org/10.1145/3314221.3314617,Replication-aware linearizability.,https://dblp.org/rec/conf/pldi/WangEMP19
PLDI,2019,https://doi.org/10.1145/3314221.3314647,Abstract interpretation under speculative execution.,https://dblp.org/rec/conf/pldi/Wu019
PLDI,2019,https://doi.org/10.1145/3314221.3314621,Parallelism-centric what-if and differential analyses.,https://dblp.org/rec/conf/pldi/YogaN19
PLDI,2019,https://doi.org/10.1145/3314221.3314623,Incremental precision-preserving symbolic inference for probabilistic programs.,https://dblp.org/rec/conf/pldi/ZhangX19
PLDI,2019,https://doi.org/10.1145/3314221.3314584,An applied quantum Hoare logic.,https://dblp.org/rec/conf/pldi/ZhouYY19
