plot_order,cell_id,researcher_id,name,selected_conference,plot_conference,pc_year,selected_event_label,event_time,year,source_group,panel_cell_available,plotted_citation_count,rebuilt_citation_count,count_matches_trace,total_citations,rebuilt_total_citations_raw,total_matches_trace,source_share_pct,pc_status_for_source
6,107,simonjgay,Simon J. Gay,ICFP,ICFP,2023,ICFP 2023,-1,2022,PLDI,True,1.0,1.0,True,12.0,12,True,8.333333333333332,0.0
6,105,simonjgay,Simon J. Gay,ICFP,ICFP,2023,ICFP 2023,-1,2022,POPL,True,8.0,8.0,True,12.0,12,True,66.66666666666666,0.0
6,108,simonjgay,Simon J. Gay,ICFP,ICFP,2023,ICFP 2023,0,2023,ICFP,True,11.0,11.0,True,22.0,22,True,50.0,1.0
6,110,simonjgay,Simon J. Gay,ICFP,ICFP,2023,ICFP 2023,0,2023,OOPSLA,True,3.0,3.0,True,22.0,22,True,13.636363636363637,0.0
6,111,simonjgay,Simon J. Gay,ICFP,ICFP,2023,ICFP 2023,0,2023,PLDI,True,4.0,4.0,True,22.0,22,True,18.181818181818183,0.0
6,109,simonjgay,Simon J. Gay,ICFP,ICFP,2023,ICFP 2023,0,2023,POPL,True,4.0,4.0,True,22.0,22,True,18.181818181818183,0.0
6,112,simonjgay,Simon J. Gay,ICFP,ICFP,2023,ICFP 2023,1,2024,ICFP,True,0.0,0.0,True,13.0,13,True,0.0,0.0
6,114,simonjgay,Simon J. Gay,ICFP,ICFP,2023,ICFP 2023,1,2024,OOPSLA,True,7.0,7.0,True,13.0,13,True,53.84615384615385,0.0
6,115,simonjgay,Simon J. Gay,ICFP,ICFP,2023,ICFP 2023,1,2024,PLDI,True,0.0,0.0,True,13.0,13,True,0.0,0.0
6,113,simonjgay,Simon J. Gay,ICFP,ICFP,2023,ICFP 2023,1,2024,POPL,True,6.0,6.0,True,13.0,13,True,46.15384615384615,0.0
6,116,simonjgay,Simon J. Gay,ICFP,ICFP,2023,ICFP 2023,2,2025,ICFP,True,1.0,1.0,True,12.0,12,True,8.333333333333332,0.0
6,118,simonjgay,Simon J. Gay,ICFP,ICFP,2023,ICFP 2023,2,2025,OOPSLA,True,5.0,5.0,True,12.0,12,True,41.66666666666667,0.0
6,119,simonjgay,Simon J. Gay,ICFP,ICFP,2023,ICFP 2023,2,2025,PLDI,True,0.0,0.0,True,12.0,12,True,0.0,0.0
6,117,simonjgay,Simon J. Gay,ICFP,ICFP,2023,ICFP 2023,2,2025,POPL,True,6.0,6.0,True,12.0,12,True,50.0,0.0
7,120,ezgicicek,Ezgi Çiçek,ICFP,ICFP,2019,ICFP 2019,-2,2017,ICFP,True,1.0,1.0,True,6.0,6,True,16.666666666666664,0.0
7,122,ezgicicek,Ezgi Çiçek,ICFP,ICFP,2019,ICFP 2019,-2,2017,OOPSLA,True,3.0,3.0,True,6.0,6,True,50.0,0.0
7,123,ezgicicek,Ezgi Çiçek,ICFP,ICFP,2019,ICFP 2019,-2,2017,PLDI,True,2.0,2.0,True,6.0,6,True,33.33333333333333,0.0
7,121,ezgicicek,Ezgi Çiçek,ICFP,ICFP,2019,ICFP 2019,-2,2017,POPL,True,0.0,0.0,True,6.0,6,True,0.0,0.0
7,124,ezgicicek,Ezgi Çiçek,ICFP,ICFP,2019,ICFP 2019,-1,2018,ICFP,True,5.0,5.0,True,8.0,8,True,62.5,0.0
7,126,ezgicicek,Ezgi Çiçek,ICFP,ICFP,2019,ICFP 2019,-1,2018,OOPSLA,True,0.0,0.0,True,8.0,8,True,0.0,0.0
7,127,ezgicicek,Ezgi Çiçek,ICFP,ICFP,2019,ICFP 2019,-1,2018,PLDI,True,2.0,2.0,True,8.0,8,True,25.0,0.0
7,125,ezgicicek,Ezgi Çiçek,ICFP,ICFP,2019,ICFP 2019,-1,2018,POPL,True,1.0,1.0,True,8.0,8,True,12.5,0.0
7,128,ezgicicek,Ezgi Çiçek,ICFP,ICFP,2019,ICFP 2019,0,2019,ICFP,True,7.0,7.0,True,12.0,12,True,58.333333333333336,1.0
7,130,ezgicicek,Ezgi Çiçek,ICFP,ICFP,2019,ICFP 2019,0,2019,OOPSLA,True,0.0,0.0,True,12.0,12,True,0.0,0.0
7,131,ezgicicek,Ezgi Çiçek,ICFP,ICFP,2019,ICFP 2019,0,2019,PLDI,True,3.0,3.0,True,12.0,12,True,25.0,0.0
7,129,ezgicicek,Ezgi Çiçek,ICFP,ICFP,2019,ICFP 2019,0,2019,POPL,True,2.0,2.0,True,12.0,12,True,16.666666666666664,0.0
7,132,ezgicicek,Ezgi Çiçek,ICFP,ICFP,2019,ICFP 2019,1,2020,ICFP,True,2.0,2.0,True,7.0,7,True,28.57142857142857,0.0
7,134,ezgicicek,Ezgi Çiçek,ICFP,ICFP,2019,ICFP 2019,1,2020,OOPSLA,True,3.0,3.0,True,7.0,7,True,42.857142857142854,0.0
7,135,ezgicicek,Ezgi Çiçek,ICFP,ICFP,2019,ICFP 2019,1,2020,PLDI,True,0.0,0.0,True,7.0,7,True,0.0,0.0
7,133,ezgicicek,Ezgi Çiçek,ICFP,ICFP,2019,ICFP 2019,1,2020,POPL,True,2.0,2.0,True,7.0,7,True,28.57142857142857,0.0
7,136,ezgicicek,Ezgi Çiçek,ICFP,ICFP,2019,ICFP 2019,2,2021,ICFP,True,0.0,0.0,True,1.0,1,True,0.0,0.0
7,138,ezgicicek,Ezgi Çiçek,ICFP,ICFP,2019,ICFP 2019,2,2021,OOPSLA,True,0.0,0.0,True,1.0,1,True,0.0,0.0
7,139,ezgicicek,Ezgi Çiçek,ICFP,ICFP,2019,ICFP 2019,2,2021,PLDI,True,0.0,0.0,True,1.0,1,True,0.0,0.0
7,137,ezgicicek,Ezgi Çiçek,ICFP,ICFP,2019,ICFP 2019,2,2021,POPL,True,1.0,1.0,True,1.0,1,True,100.0,0.0
8,140,brandonlucia,Brandon Lucia,OOPSLA,OOPSLA,2019,OOPSLA 2019,-2,2017,ICFP,True,0.0,0.0,True,13.0,13,True,0.0,0.0
8,142,brandonlucia,Brandon Lucia,OOPSLA,OOPSLA,2019,OOPSLA 2019,-2,2017,OOPSLA,True,10.0,10.0,True,13.0,13,True,76.92307692307693,0.0
8,143,brandonlucia,Brandon Lucia,OOPSLA,OOPSLA,2019,OOPSLA 2019,-2,2017,PLDI,True,3.0,3.0,True,13.0,13,True,23.076923076923077,0.0
8,141,brandonlucia,Brandon Lucia,OOPSLA,OOPSLA,2019,OOPSLA 2019,-2,2017,POPL,True,0.0,0.0,True,13.0,13,True,0.0,0.0
8,144,brandonlucia,Brandon Lucia,OOPSLA,OOPSLA,2019,OOPSLA 2019,-1,2018,ICFP,True,0.0,0.0,True,13.0,13,True,0.0,0.0
8,146,brandonlucia,Brandon Lucia,OOPSLA,OOPSLA,2019,OOPSLA 2019,-1,2018,OOPSLA,True,1.0,1.0,True,13.0,13,True,7.6923076923076925,0.0
8,147,brandonlucia,Brandon Lucia,OOPSLA,OOPSLA,2019,OOPSLA 2019,-1,2018,PLDI,True,12.0,12.0,True,13.0,13,True,92.3076923076923,0.0
8,145,brandonlucia,Brandon Lucia,OOPSLA,OOPSLA,2019,OOPSLA 2019,-1,2018,POPL,True,0.0,0.0,True,13.0,13,True,0.0,0.0
8,148,brandonlucia,Brandon Lucia,OOPSLA,OOPSLA,2019,OOPSLA 2019,0,2019,ICFP,True,0.0,0.0,True,46.0,46,True,0.0,0.0
8,150,brandonlucia,Brandon Lucia,OOPSLA,OOPSLA,2019,OOPSLA 2019,0,2019,OOPSLA,True,24.0,24.0,True,46.0,46,True,52.17391304347826,1.0
8,151,brandonlucia,Brandon Lucia,OOPSLA,OOPSLA,2019,OOPSLA 2019,0,2019,PLDI,True,22.0,22.0,True,46.0,46,True,47.82608695652174,0.0
8,149,brandonlucia,Brandon Lucia,OOPSLA,OOPSLA,2019,OOPSLA 2019,0,2019,POPL,True,0.0,0.0,True,46.0,46,True,0.0,0.0
8,152,brandonlucia,Brandon Lucia,OOPSLA,OOPSLA,2019,OOPSLA 2019,1,2020,ICFP,True,0.0,0.0,True,25.0,25,True,0.0,0.0
8,154,brandonlucia,Brandon Lucia,OOPSLA,OOPSLA,2019,OOPSLA 2019,1,2020,OOPSLA,True,14.0,14.0,True,25.0,25,True,56.00000000000001,0.0
8,155,brandonlucia,Brandon Lucia,OOPSLA,OOPSLA,2019,OOPSLA 2019,1,2020,PLDI,True,11.0,11.0,True,25.0,25,True,44.0,0.0
8,153,brandonlucia,Brandon Lucia,OOPSLA,OOPSLA,2019,OOPSLA 2019,1,2020,POPL,True,0.0,0.0,True,25.0,25,True,0.0,0.0
8,156,brandonlucia,Brandon Lucia,OOPSLA,OOPSLA,2019,OOPSLA 2019,2,2021,ICFP,True,0.0,0.0,True,12.0,12,True,0.0,0.0
