analysis_group,sample_key,sample_label,split_kind,cohort_key,cohort_label,event_time,event_units,defined_delta_shares,zero_total_citation_years,median_career_age_in_sample,mean_delta_source_share_pp,delta_ci_low_pp,delta_ci_high_pp
OOPSLA,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,all_in_sample,All in sample,2,6,6,0,15.0,-21.394,-34.93,-10.274
OOPSLA,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_0_9,Career age 0-9 years,-2,2,2,0,15.0,0.0,0.0,0.0
OOPSLA,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_0_9,Career age 0-9 years,-1,2,1,1,15.0,100.0,100.0,100.0
OOPSLA,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_0_9,Career age 0-9 years,0,2,2,0,15.0,38.333,10.0,66.667
OOPSLA,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_0_9,Career age 0-9 years,1,2,1,1,15.0,0.0,0.0,0.0
OOPSLA,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_0_9,Career age 0-9 years,2,2,2,0,15.0,-8.333,-16.667,0.0
OOPSLA,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_10_19,Career age 10-19 years,-2,3,3,0,15.0,0.0,0.0,0.0
OOPSLA,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_10_19,Career age 10-19 years,-1,3,3,0,15.0,-35.613,-59.615,-22.222
OOPSLA,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_10_19,Career age 10-19 years,0,3,3,0,15.0,-17.937,-29.825,4.63
OOPSLA,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_10_19,Career age 10-19 years,1,3,3,0,15.0,-32.954,-55.556,-13.235
