plot_order,researcher_id,name,conference,plot_conference,pc_year,selected_event_label,event_time,year,source_group,citation_count,total_citations,source_share,source_share_pct,pc_status_for_source
4,viktorkuncak,Viktor Kunčak,PLDI,PLDI,2021,PLDI 2021,0,2021,POPL,5.0,36.0,0.1388888888888889,13.88888888888889,0.0
4,viktorkuncak,Viktor Kunčak,PLDI,PLDI,2021,PLDI 2021,0,2021,OOPSLA,10.0,36.0,0.2777777777777778,27.77777777777778,1.0
4,viktorkuncak,Viktor Kunčak,PLDI,PLDI,2021,PLDI 2021,0,2021,PLDI,18.0,36.0,0.5,50.0,1.0
4,viktorkuncak,Viktor Kunčak,PLDI,PLDI,2021,PLDI 2021,1,2022,ICFP,0.0,17.0,0.0,0.0,0.0
4,viktorkuncak,Viktor Kunčak,PLDI,PLDI,2021,PLDI 2021,1,2022,POPL,6.0,17.0,0.35294117647058826,35.294117647058826,0.0
4,viktorkuncak,Viktor Kunčak,PLDI,PLDI,2021,PLDI 2021,1,2022,OOPSLA,6.0,17.0,0.35294117647058826,35.294117647058826,0.0
4,viktorkuncak,Viktor Kunčak,PLDI,PLDI,2021,PLDI 2021,1,2022,PLDI,5.0,17.0,0.29411764705882354,29.411764705882355,0.0
4,viktorkuncak,Viktor Kunčak,PLDI,PLDI,2021,PLDI 2021,2,2023,ICFP,2.0,24.0,0.08333333333333333,8.333333333333332,0.0
4,viktorkuncak,Viktor Kunčak,PLDI,PLDI,2021,PLDI 2021,2,2023,POPL,4.0,24.0,0.16666666666666666,16.666666666666664,0.0
4,viktorkuncak,Viktor Kunčak,PLDI,PLDI,2021,PLDI 2021,2,2023,OOPSLA,11.0,24.0,0.4583333333333333,45.83333333333333,0.0
4,viktorkuncak,Viktor Kunčak,PLDI,PLDI,2021,PLDI 2021,2,2023,PLDI,7.0,24.0,0.2916666666666667,29.166666666666668,1.0
5,peterthiemann,Peter Thiemann,ICFP,ICFP,2023,ICFP 2023,-2,2021,ICFP,3.0,14.0,0.21428571428571427,21.428571428571427,0.0
5,peterthiemann,Peter Thiemann,ICFP,ICFP,2023,ICFP 2023,-2,2021,POPL,3.0,14.0,0.21428571428571427,21.428571428571427,0.0
5,peterthiemann,Peter Thiemann,ICFP,ICFP,2023,ICFP 2023,-2,2021,OOPSLA,3.0,14.0,0.21428571428571427,21.428571428571427,0.0
5,peterthiemann,Peter Thiemann,ICFP,ICFP,2023,ICFP 2023,-2,2021,PLDI,5.0,14.0,0.35714285714285715,35.714285714285715,0.0
5,peterthiemann,Peter Thiemann,ICFP,ICFP,2023,ICFP 2023,-1,2022,ICFP,2.0,13.0,0.15384615384615385,15.384615384615385,0.0
5,peterthiemann,Peter Thiemann,ICFP,ICFP,2023,ICFP 2023,-1,2022,POPL,2.0,13.0,0.15384615384615385,15.384615384615385,0.0
5,peterthiemann,Peter Thiemann,ICFP,ICFP,2023,ICFP 2023,-1,2022,OOPSLA,6.0,13.0,0.46153846153846156,46.15384615384615,0.0
5,peterthiemann,Peter Thiemann,ICFP,ICFP,2023,ICFP 2023,-1,2022,PLDI,3.0,13.0,0.23076923076923078,23.076923076923077,0.0
5,peterthiemann,Peter Thiemann,ICFP,ICFP,2023,ICFP 2023,0,2023,ICFP,8.0,21.0,0.38095238095238093,38.095238095238095,1.0
5,peterthiemann,Peter Thiemann,ICFP,ICFP,2023,ICFP 2023,0,2023,POPL,1.0,21.0,0.047619047619047616,4.761904761904762,0.0
