plot_order,researcher_id,name,conference,plot_conference,pc_year,selected_event_label,event_time,year,selected_source_conferences,selected_conference_citations,all_studied_conference_citations,source_share,source_share_pct,baseline_source_share,baseline_source_share_pct,delta_source_share,delta_source_share_pp
7,ezgicicek,Ezgi Çiçek,ICFP,ICFP,2019,ICFP 2019,0,2019,ICFP,7.0,12.0,0.5833333333333334,58.333333333333336,0.16666666666666666,16.666666666666664,0.41666666666666674,41.66666666666667
7,ezgicicek,Ezgi Çiçek,ICFP,ICFP,2019,ICFP 2019,1,2020,ICFP,2.0,7.0,0.2857142857142857,28.57142857142857,0.16666666666666666,16.666666666666664,0.11904761904761904,11.904761904761903
7,ezgicicek,Ezgi Çiçek,ICFP,ICFP,2019,ICFP 2019,2,2021,ICFP,0.0,1.0,0.0,0.0,0.16666666666666666,16.666666666666664,-0.16666666666666666,-16.666666666666664
8,brandonlucia,Brandon Lucia,OOPSLA,OOPSLA,2019,OOPSLA 2019,-2,2017,OOPSLA,10.0,13.0,0.7692307692307693,76.92307692307693,0.7692307692307693,76.92307692307693,0.0,0.0
8,brandonlucia,Brandon Lucia,OOPSLA,OOPSLA,2019,OOPSLA 2019,-1,2018,OOPSLA,1.0,13.0,0.07692307692307693,7.6923076923076925,0.7692307692307693,76.92307692307693,-0.6923076923076923,-69.23076923076923
8,brandonlucia,Brandon Lucia,OOPSLA,OOPSLA,2019,OOPSLA 2019,0,2019,OOPSLA,24.0,46.0,0.5217391304347826,52.17391304347826,0.7692307692307693,76.92307692307693,-0.24749163879598668,-24.74916387959867
8,brandonlucia,Brandon Lucia,OOPSLA,OOPSLA,2019,OOPSLA 2019,1,2020,OOPSLA,14.0,25.0,0.56,56.00000000000001,0.7692307692307693,76.92307692307693,-0.20923076923076922,-20.923076923076923
8,brandonlucia,Brandon Lucia,OOPSLA,OOPSLA,2019,OOPSLA 2019,2,2021,OOPSLA,0.0,12.0,0.0,0.0,0.7692307692307693,76.92307692307693,-0.7692307692307693,-76.92307692307693
9,jonathanbrachthauser,Jonathan Immanuel Brachthäuser,POPL,POPL,2024,POPL 2024,-2,2022,POPL,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
9,jonathanbrachthauser,Jonathan Immanuel Brachthäuser,POPL,POPL,2024,POPL 2024,-1,2023,POPL,1.0,19.0,0.05263157894736842,5.263157894736842,0.0,0.0,0.05263157894736842,5.263157894736842
9,jonathanbrachthauser,Jonathan Immanuel Brachthäuser,POPL,POPL,2024,POPL 2024,0,2024,POPL,16.0,45.0,0.35555555555555557,35.55555555555556,0.0,0.0,0.35555555555555557,35.55555555555556
9,jonathanbrachthauser,Jonathan Immanuel Brachthäuser,POPL,POPL,2024,POPL 2024,1,2025,POPL,2.0,48.0,0.041666666666666664,4.166666666666666,0.0,0.0,0.041666666666666664,4.166666666666666
9,jonathanbrachthauser,Jonathan Immanuel Brachthäuser,POPL,POPL,2024,POPL 2024,2,2026,POPL,,,,,0.0,0.0,,
10,fritzhenglein,Fritz Henglein,POPL,POPL,2024,POPL 2024,-2,2022,POPL,2.0,6.0,0.3333333333333333,33.33333333333333,0.3333333333333333,33.33333333333333,0.0,0.0
10,fritzhenglein,Fritz Henglein,POPL,POPL,2024,POPL 2024,-1,2023,POPL,0.0,3.0,0.0,0.0,0.3333333333333333,33.33333333333333,-0.3333333333333333,-33.33333333333333
10,fritzhenglein,Fritz Henglein,POPL,POPL,2024,POPL 2024,0,2024,POPL,13.0,25.0,0.52,52.0,0.3333333333333333,33.33333333333333,0.1866666666666667,18.66666666666667
10,fritzhenglein,Fritz Henglein,POPL,POPL,2024,POPL 2024,1,2025,POPL,2.0,7.0,0.2857142857142857,28.57142857142857,0.3333333333333333,33.33333333333333,-0.047619047619047616,-4.761904761904762
10,fritzhenglein,Fritz Henglein,POPL,POPL,2024,POPL 2024,2,2026,POPL,,,,,0.3333333333333333,33.33333333333333,,
