selection_rank,panel_order,line_order,researcher_id,name,conference,plot_conference,pc_year,selected_event_label,event_time,year,citation_count,log10_citations_plus_one,delta_log10_t_minus_2_reference,delta_raw_t_minus_2_reference,openalex_career_age_at_pc_year,google_scholar_career_age_at_pc_year
6,6,1,ezgicicek,Ezgi Çiçek,ICFP,ICFP,2019,ICFP 2019,2,2021,0.0,0.0,-0.3010299956639812,-1.0,4,5
7,7,1,brandonlucia,Brandon Lucia,OOPSLA,OOPSLA,2019,OOPSLA 2019,-2,2017,10.0,1.0413926851582251,0.0,0.0,11,10
7,7,1,brandonlucia,Brandon Lucia,OOPSLA,OOPSLA,2019,OOPSLA 2019,-1,2018,1.0,0.3010299956639812,-0.7403626894942439,-9.0,11,10
7,7,1,brandonlucia,Brandon Lucia,OOPSLA,OOPSLA,2019,OOPSLA 2019,0,2019,24.0,1.3979400086720377,0.3565473235138126,14.0,11,10
7,7,1,brandonlucia,Brandon Lucia,OOPSLA,OOPSLA,2019,OOPSLA 2019,1,2020,14.0,1.1760912590556813,0.1346985738974562,4.0,11,10
7,7,1,brandonlucia,Brandon Lucia,OOPSLA,OOPSLA,2019,OOPSLA 2019,2,2021,0.0,0.0,-1.0413926851582251,-10.0,11,10
8,8,1,jonathanbrachthauser,Jonathan Immanuel Brachthäuser,POPL,POPL,2024,POPL 2024,-2,2022,0.0,0.0,0.0,0.0,10,10
8,8,1,jonathanbrachthauser,Jonathan Immanuel Brachthäuser,POPL,POPL,2024,POPL 2024,-1,2023,1.0,0.3010299956639812,0.3010299956639812,1.0,10,10
8,8,1,jonathanbrachthauser,Jonathan Immanuel Brachthäuser,POPL,POPL,2024,POPL 2024,0,2024,16.0,1.2304489213782739,1.2304489213782739,16.0,10,10
8,8,1,jonathanbrachthauser,Jonathan Immanuel Brachthäuser,POPL,POPL,2024,POPL 2024,1,2025,2.0,0.47712125471966244,0.47712125471966244,2.0,10,10
8,8,1,jonathanbrachthauser,Jonathan Immanuel Brachthäuser,POPL,POPL,2024,POPL 2024,2,2026,,,,,10,10
9,9,1,fritzhenglein,Fritz Henglein,POPL,POPL,2024,POPL 2024,-2,2022,2.0,0.47712125471966244,0.0,0.0,39,33
9,9,1,fritzhenglein,Fritz Henglein,POPL,POPL,2024,POPL 2024,-1,2023,0.0,0.0,-0.47712125471966244,-2.0,39,33
9,9,1,fritzhenglein,Fritz Henglein,POPL,POPL,2024,POPL 2024,0,2024,13.0,1.146128035678238,0.6690067809585756,11.0,39,33
9,9,1,fritzhenglein,Fritz Henglein,POPL,POPL,2024,POPL 2024,1,2025,2.0,0.47712125471966244,0.0,0.0,39,33
9,9,1,fritzhenglein,Fritz Henglein,POPL,POPL,2024,POPL 2024,2,2026,,,,,39,33
