event_unit_id,researcher_id,name,conference,analysis_conference,pc_year,baseline_source_share,baseline_defined_years,pc_year_source_share,pc_year_delta_source_share,pc_year_citations,pc_year_total_studied_citations,pc_year_source_share_pct,pc_year_delta_source_share_pp
armandosolarlezama|ICFP|2023,armandosolarlezama,Armando Solar-Lezama,ICFP,ICFP,2023,0.047619047619047616,1,0.0,-0.047619047619047616,0.0,84.0,0.0,-4.761904761904762
armandosolarlezama|PLDI|2021,armandosolarlezama,Armando Solar-Lezama,PLDI,PLDI 2021 onward,2021,0.46875,1,0.4880952380952381,0.019345238095238082,41.0,84.0,48.80952380952381,1.9345238095238082
arnaudspiwack|ICFP|2023,arnaudspiwack,Arnaud Spiwack,ICFP,ICFP,2023,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0
arthurazevedodeamorim|ICFP|2022,arthurazevedodeamorim,Arthur Azevedo de Amorim,ICFP,ICFP,2022,0.0,1,0.07692307692307693,0.07692307692307693,1.0,13.0,7.6923076923076925,7.6923076923076925
arthurchargueraud|OOPSLA|2019,arthurchargueraud,Arthur Charguéraud,OOPSLA,OOPSLA,2019,0.25,1,0.2962962962962963,0.04629629629629628,8.0,27.0,29.629629629629626,4.629629629629628
atsushiohori|ICFP|2020,atsushiohori,Atsushi Ohori,ICFP,ICFP,2020,1.0,1,1.0,0.0,2.0,2.0,100.0,0.0
azalearaad|ICFP|2022,azalearaad,Azalea Raad,ICFP,ICFP,2022,0.0,1,0.0,0.0,0.0,35.0,0.0,0.0
bariskasikci|PLDI|2022,bariskasikci,Baris Kasikci,PLDI,PLDI 2021 onward,2022,0.3333333333333333,1,0.75,0.4166666666666667,3.0,4.0,75.0,41.66666666666667
basspitters|POPL|2022,basspitters,Bas Spitters,POPL,POPL,2022,0.0,1,0.7142857142857143,0.7142857142857143,5.0,7.0,71.42857142857143,71.42857142857143
bengreenman|ICFP|2021,bengreenman,Ben Greenman,ICFP,ICFP,2021,0.1,1,0.3333333333333333,0.2333333333333333,8.0,24.0,33.33333333333333,23.333333333333332
benjamincpierce|ICFP|2023,benjamincpierce,Benjamin C. Pierce,ICFP,ICFP,2023,0.3,1,0.21428571428571427,-0.08571428571428572,18.0,84.0,21.428571428571427,-8.571428571428571
benjamincpierce|POPL|2023,benjamincpierce,Benjamin C. Pierce,POPL,POPL,2023,0.24,1,0.30952380952380953,0.06952380952380954,26.0,84.0,30.952380952380953,6.952380952380954
benliblit|PLDI|2021,benliblit,Ben Liblit,PLDI,PLDI 2021 onward,2021,0.25,1,0.7777777777777778,0.5277777777777778,7.0,9.0,77.77777777777779,52.77777777777778
benzorn|PLDI|2021,benzorn,Ben Zorn,PLDI,PLDI 2021 onward,2021,,0,,,0.0,0.0,,
bernardotoninho|ICFP|2022,bernardotoninho,Bernardo Toninho,ICFP,ICFP,2022,0.0,1,0.21052631578947367,0.21052631578947367,4.0,19.0,21.052631578947366,21.052631578947366
betaziliani|POPL|2020,betaziliani,Beta Ziliani,POPL,POPL,2020,0.2857142857142857,1,1.0,0.7142857142857143,3.0,3.0,100.0,71.42857142857143
