referenced_work_id,fetch_status,has_work,n_authorships,publication_year
W14360457,fetched_singleton,True,3,2014.0
W1436965661,fetched_singleton,True,5,2015.0
W14371359,fetched_singleton,True,5,2013.0
W1437323374,fetched_singleton,True,6,2015.0
W1437335841,fetched_singleton,True,5,2015.0
W1439634531,fetched_singleton,True,3,2016.0
W144055994,fetched_singleton,True,2,2010.0
W1440872534,fetched_singleton,True,3,2015.0
W144096106,fetched_singleton,True,1,1989.0
W144121602,fetched_singleton,True,1,1992.0
W1441331420,fetched_singleton,True,2,2015.0
W1442374986,fetched_singleton,True,4,2014.0
W1442784,fetched_singleton,True,2,2005.0
W144278825,fetched_singleton,True,2,2012.0
W144372381,fetched_singleton,True,4,2012.0
W1448681276,not_found,False,0,
W1448942713,fetched_singleton,True,2,2006.0
W145004765,fetched_singleton,True,1,2012.0
W145069693,fetched_singleton,True,4,2014.0
W1452568986,fetched_singleton,True,5,2015.0
W145355838,fetched_singleton,True,2,2005.0
W1454728789,fetched_singleton,True,2,2014.0
W1455804204,fetched_singleton,True,8,2014.0
W1456004531,fetched_singleton,True,1,1986.0
W1456438575,fetched_singleton,True,3,2013.0
W14568393,fetched_singleton,True,1,2010.0
W145691285,fetched_singleton,True,1,2014.0
W145712316,fetched_singleton,True,3,2014.0
W1457363419,fetched_singleton,True,2,2015.0
W1458516385,fetched_singleton,True,3,2015.0
W1458664253,fetched_singleton,True,2,2013.0
W145869046,fetched_singleton,True,1,1993.0
W1460189015,fetched_singleton,True,1,1998.0
W14611369,fetched_singleton,True,0,2005.0
W1461485317,not_found,False,0,
W1461884856,fetched_singleton,True,2,2014.0
W146234417,fetched_singleton,True,5,2011.0
W146244851,fetched_singleton,True,4,2013.0
W146262440,fetched_singleton,True,2,2014.0
W146283465,fetched_singleton,True,2,2014.0
W146333850,fetched_singleton,True,5,2014.0
W146427529,fetched_singleton,True,1,2021.0
W1464569014,fetched_singleton,True,5,2015.0
W146475325,fetched_singleton,True,4,2013.0
W146479950,not_found,False,0,
W146493892,fetched_singleton,True,3,2010.0
W1465390462,fetched_singleton,True,2,2015.0
W1465565820,fetched_singleton,True,3,2015.0
W146699588,fetched_singleton,True,1,2005.0
W1467316755,fetched_singleton,True,3,2013.0
W146784359,fetched_singleton,True,1,2017.0
W1468438670,fetched_singleton,True,2,2012.0
W146848279,fetched_singleton,True,2,2014.0
W146875869,fetched_singleton,True,3,2012.0
W1470114689,fetched_singleton,True,3,2012.0
W147093031,fetched_singleton,True,1,1995.0
W147129824,fetched_singleton,True,3,2012.0
W147131300,fetched_singleton,True,2,2011.0
W147235090,fetched_singleton,True,2,2010.0
W1473151223,fetched_singleton,True,2,2011.0
W147489498,fetched_singleton,True,6,2012.0
W1475493299,fetched_singleton,True,4,2015.0
W1475732121,fetched_singleton,True,4,2015.0
W1476041289,fetched_singleton,True,15,2013.0
W147632993,fetched_singleton,True,5,2012.0
W1476411550,fetched_singleton,True,6,2009.0
W1478599539,fetched_singleton,True,4,2012.0
W1479679270,fetched_singleton,True,2,2002.0
W1479723338,fetched_singleton,True,3,2001.0
W1479725431,fetched_singleton,True,4,2010.0
W1479772898,fetched_singleton,True,1,2005.0
W1479802504,fetched_singleton,True,1,1995.0
W1479979375,fetched_singleton,True,1,1992.0
W1480006450,fetched_singleton,True,1,1978.0
W1480066506,fetched_singleton,True,1,1973.0
W1480120842,fetched_singleton,True,2,2010.0
W1480152022,fetched_singleton,True,3,2009.0
W1480198727,fetched_singleton,True,2,2008.0
W1480210121,fetched_singleton,True,1,2014.0
W1480225633,fetched_singleton,True,4,2004.0
W1480370622,fetched_singleton,True,4,2004.0
W1480376833,fetched_singleton,True,3,2001.0
W1480414464,fetched_singleton,True,2,2007.0
W1480443021,fetched_singleton,True,2,2002.0
W1480449550,fetched_singleton,True,2,2004.0
W1480468592,fetched_singleton,True,3,2014.0
W1480477462,fetched_singleton,True,6,2011.0
W1480522639,fetched_singleton,True,2,2015.0
W1480685649,fetched_singleton,True,2,2006.0
W1480729609,fetched_singleton,True,1,1985.0
W1480741301,fetched_singleton,True,2,2005.0
W1480753098,fetched_singleton,True,1,1996.0
W1480794577,fetched_singleton,True,1,2002.0
W1480850417,fetched_singleton,True,5,2010.0
W1480878783,fetched_singleton,True,2,1994.0
W1480909796,fetched_singleton,True,2,2008.0
W1480910789,fetched_singleton,True,2,2014.0
W1480911590,fetched_singleton,True,1,1985.0
W1480958225,fetched_singleton,True,2,2011.0
W1480979627,fetched_singleton,True,2,2008.0
W1481109946,fetched_singleton,True,1,1995.0
W1481180394,fetched_singleton,True,1,1997.0
W1481307904,fetched_singleton,True,3,2007.0
W1481365453,fetched_singleton,True,1,1991.0
W1481397690,fetched_singleton,True,2,2018.0
W1481489425,fetched_singleton,True,1,1993.0
W1481528147,fetched_singleton,True,4,2010.0
W1481537516,fetched_singleton,True,1,2013.0
W148161500,fetched_singleton,True,2,2012.0
W14816984,fetched_singleton,True,1,2006.0
W1481698781,fetched_singleton,True,3,2009.0
W1481770540,fetched_singleton,True,3,2008.0
W1481848333,fetched_singleton,True,2,2007.0
W1481858916,fetched_singleton,True,5,2005.0
W1481972931,fetched_singleton,True,1,1998.0
W1481985818,fetched_singleton,True,3,2005.0
W1482152999,fetched_singleton,True,2,2007.0
W1482171176,fetched_singleton,True,3,1997.0
W1482205433,fetched_singleton,True,3,2005.0
W14822458,fetched_singleton,True,2,2014.0
W1482275438,fetched_singleton,True,4,2010.0
W1482314864,fetched_singleton,True,2,2003.0
W1482328693,fetched_singleton,True,3,2010.0
W1482332845,fetched_singleton,True,2,2006.0
W1482397304,fetched_singleton,True,2,2008.0
W148244906,fetched_singleton,True,1,2013.0
W1482449995,fetched_singleton,True,4,2012.0
W1482508253,fetched_singleton,True,1,1985.0
W1482532598,fetched_singleton,True,6,2011.0
W1482532876,fetched_singleton,True,0,1969.0
W1482537125,fetched_singleton,True,2,2000.0
W1482603307,fetched_singleton,True,1,2008.0
W1482624438,fetched_singleton,True,3,2004.0
W1482630712,fetched_singleton,True,1,1992.0
W1482647296,fetched_singleton,True,2,2005.0
W1482680420,fetched_singleton,True,3,2004.0
W1482700756,fetched_singleton,True,2,2005.0
W1482758428,fetched_singleton,True,2,2008.0
W1482763887,fetched_singleton,True,1,1988.0
W1482769911,fetched_singleton,True,4,2008.0
W1482794,fetched_singleton,True,3,2014.0
W1482804486,fetched_singleton,True,2,2003.0
W1482981524,fetched_singleton,True,3,2011.0
W1483015670,fetched_singleton,True,1,2001.0
W1483047125,fetched_singleton,True,2,1997.0
W1483170865,fetched_singleton,True,3,1993.0
W1483171835,fetched_singleton,True,1,1989.0
W1483190703,fetched_singleton,True,1,2011.0
W1483359125,fetched_singleton,True,2,2001.0
W1483380114,fetched_singleton,True,3,2013.0
W1483476483,fetched_singleton,True,2,2004.0
W1483520933,fetched_singleton,True,2,2000.0
W1483535695,fetched_singleton,True,2,2015.0
W1483568252,fetched_singleton,True,1,1952.0
W1483600339,fetched_singleton,True,1,2011.0
W1483606732,fetched_singleton,True,2,2007.0
W1483662861,fetched_singleton,True,4,2014.0
W1483674998,fetched_singleton,True,1,1975.0
W1483679196,fetched_singleton,True,1,1998.0
W148369031,fetched_singleton,True,5,2012.0
W1483717008,fetched_singleton,True,4,2012.0
W1483783534,fetched_singleton,True,3,2005.0
W1483872283,fetched_singleton,True,1,1997.0
W1483874328,fetched_singleton,True,2,2000.0
W1483880184,fetched_singleton,True,6,2009.0
W1483893502,fetched_singleton,True,1,2009.0
W1483960654,fetched_singleton,True,2,2011.0
W148396834,fetched_singleton,True,2,2011.0
W1483969115,fetched_singleton,True,5,2002.0
W1483994939,fetched_singleton,True,2,2007.0
W1484019856,fetched_singleton,True,1,1994.0
W1484057600,fetched_singleton,True,2,2011.0
W1484150644,fetched_singleton,True,3,2011.0
W1484167304,fetched_singleton,True,1,2001.0
W1484196467,fetched_singleton,True,1,2010.0
W1484210532,fetched_singleton,True,3,2014.0
W1484252365,fetched_singleton,True,3,2013.0
W1484344542,fetched_singleton,True,1,2003.0
W1484352250,fetched_singleton,True,1,2002.0
W1484403583,fetched_singleton,True,4,2011.0
W1484422715,fetched_singleton,True,2,1988.0
W148448369,fetched_singleton,True,2,2016.0
W1484522353,fetched_singleton,True,1,2001.0
W1484523725,fetched_singleton,True,1,1972.0
W1484559376,fetched_singleton,True,6,2007.0
W1484739396,fetched_singleton,True,1,1990.0
W1484863582,fetched_singleton,True,4,2012.0
