title_key,n_openalex_work_ids,representative_title,work_ids,years,exploded_author_rows
preface,4,Preface,W2403093584; W4211067849; W4247695068; W6940759669,"2001, 2003, 2007, 2013",30
model checking,4,Model checking,W2166422915; W2340735175; W2913459036; W4242741415,"1996, 1997, 1999, 2009",23
language support for lightweight transactions,4,Language support for lightweight transactions,W2108204150; W4238611865; W4242949098; W4246251632,"2003, 2014",22
communicating sequential processes,4,Communicating sequential processes,W2110425399; W2176300081; W3144368627; W4211008702,"1978, 1983, 1985",19
functional pearl,4,Functional pearl,W1999260700; W2071866471; W2118502088; W2143934903,"2004, 2009, 2010",17
symbolic model checking,4,Symbolic model checking,W1503170978; W2344671925; W240055707; W4300021588,"1993, 1994, 1996",17
mathematics of program construction,4,Mathematics of Program Construction,W1678891027; W2248636262; W2482291115; W2736692911,"1995, 1998, 2010, 2015",16
theory of linear and integer programming,4,Theory of Linear and Integer Programming,W1963547452; W4233558979; W4298262456; W4301808069,"1987, 2000",16
domain specific languages,4,Domain-specific languages,W2060908487; W2155028447; W260703653; W4319867088,"2000, 2003, 2009, 2023",10
intel threading building blocks,4,Intel® threading building blocks,W160921400; W2498108729; W3016205154; W57462620,"2008, 2015, 2016",10
using redundancies to find errors,4,Using redundancies to find errors,W2108278741; W2146796140; W3010171591; W4249537162,"2002, 2003",10
randomized algorithms,4,Randomized Algorithms,W138321218; W2295428206; W4237476671; W4240897737,"1995, 1996, 2020, 2024",9
syntax guided synthesis,3,Syntax-Guided Synthesis,W1526922602; W2094878426; W2399923814,"2013, 2015",892
finding and understanding bugs in c compilers,3,Finding and understanding bugs in C compilers,W2098456636; W4238083723; W4245487037,"2011, 2012",444
halide,3,Halide,W2055312318; W2780077279; W4251637954,"2013, 2017",384
bringing the web up to speed with webassembly,3,Bringing the web up to speed with WebAssembly,W2625141509; W2901284989; W4232865065,"2017, 2018",333
abstract interpretation,3,Abstract interpretation,W2043100293; W2163563828; W2295244175,"1977, 1996, 2014",268
secure distributed programming with value dependent types,3,Secure distributed programming with value-dependent types,W2147778310; W2154005761; W4240226860,"2011, 2013",222
multiparty asynchronous session types,3,Multiparty asynchronous session types,W2040105559; W2325347394; W3008328790,"2008, 2016",198
chisel,3,Chisel,W1983394510; W2142096775; W4243061752,"2012, 2014",191
compositional shape analysis by means of bi abduction,3,Compositional Shape Analysis by Means of Bi-Abduction,W1992012690; W2154985136; W3015951847,"2009, 2011",188
probabilistic relational reasoning for differential privacy,3,Probabilistic Relational Reasoning for Differential Privacy,W2091015169; W2100877271; W3145555275,"2012, 2013",172
eraser,3,Eraser,W1972544179; W2016323637; W4233730906,1997,170
quickcheck,3,QuickCheck,W2119717320; W4242126179; W4244488020,"2000, 2011",170
stateless model checking for tso and pso,3,Stateless Model Checking for TSO and PSO,W1719093023; W2466104094; W2952092732,"2015, 2016",156
program synthesis using abstraction refinement,3,Program synthesis using abstraction refinement,W2765742677; W2899212285; W2951471155,2017,141
stochastic superoptimization,3,Stochastic superoptimization,W2294628582; W3037855651; W4299968636,2013,138
multivariate amortized resource analysis,3,Multivariate amortized resource analysis,W2073629816; W2137062096; W4242321992,"2011, 2012",126
program synthesis,3,Program Synthesis,W2976890614; W4229675450; W4234222550,2017,126
a randomized scheduler with probabilistic guarantees of finding bugs,3,A randomized scheduler with probabilistic guarantees of finding bugs,W2110852599; W3128783161; W4254906220,2010,124
blame for all,3,Blame for all,W2128496924; W2160241785; W3163012639,"2009, 2011",116
on the naturalness of software,3,On the naturalness of software,W2142403498; W2344444819; W3146720657,"2012, 2016",110
gps,3,GPS,W1969970763; W2168397157; W4245803861,"2013, 2014",104
high performance transactions for persistent memories,3,High-Performance Transactions for Persistent Memories,W2333451476; W4230081539; W4238227173,2016,100
pointer analysis,3,Pointer analysis,W2046699259; W2913068020; W4206770190,"2001, 2015",97
implicitly threaded parallelism in manticore,3,Implicitly threaded parallelism in Manticore,W1994257154; W2107766104; W4244257941,"2008, 2010",96
languages as libraries,3,Languages as libraries,W2101718506; W4235903093; W4244459302,"2011, 2012",95
stochastic invariants for probabilistic termination,3,Stochastic invariants for probabilistic termination,W2548604229; W2950486995; W4301523782,"2016, 2017",93
beginner s luck a language for property based generators,3,Beginner's luck: a language for property-based generators,W2476059279; W2952075001; W3006045359,"2016, 2017",90
making smart contracts smarter,3,Making Smart Contracts Smarter,W2539190473; W2951548499; W3174470544,"2016, 2021",90
fasttrack,3,FastTrack,W2089237839; W2167744164; W4238388226,"2009, 2010",82
an axiomatic basis for computer programming,3,An axiomatic basis for computer programming,W2111706174; W2987907651; W4302049037,"1969, 1983, 2001",81
graspan,3,Graspan,W2604520577; W4237417046; W4247073558,2017,80
valgrind,3,Valgrind,W1514171102; W2156858199; W4239035626,"2003, 2007",80
secure information flow by self composition,3,Secure information flow by self-composition,W2095840868; W2104658241; W4236991443,"2004, 2011",78
learning from mistakes,3,Learning from mistakes,W2101161997; W3009678450; W3023364199,2008,76
testing noninterference quickly,3,"Testing noninterference, quickly",W2159192310; W2329154668; W4250224788,"2013, 2016",75
featherweight java,3,Featherweight Java,W2033348393; W2168986107; W4244464581,"1999, 2001",72
linear dependent types and relative completeness,3,Linear Dependent Types and Relative Completeness,W1966928697; W2095867533; W4298195558,"2011, 2012",72
skeletal program enumeration for rigorous compiler testing,3,Skeletal program enumeration for rigorous compiler testing,W2530895108; W2952139678; W4306749256,"2016, 2017",72
thorn,3,Thorn,W2013449916; W2134720688; W4230441739,2009,72
lightweight modular staging,3,Lightweight modular staging,W2147578933; W2154697693; W2998145234,"2010, 2012",70
soft contract verification,3,Soft contract verification,W2081841061; W3099703838; W4230221903,"2014, 2016",69
operational semantics for multi language programs,3,Operational semantics for multi-language programs,W2014472261; W2020899082; W4245120671,"2007, 2009",68
reasoning about programs in continuation passing style,3,Reasoning about programs in continuation-passing style,W1975575519; W2017274604; W3005174853,"1992, 1993",68
rusthorn chc based verification for rust programs,3,RustHorn: CHC-Based Verification for Rust Programs,W3007744929; W3209913027; W4232182907,"2020, 2021",66
abstractions from proofs,3,Abstractions from proofs,W2151463894; W4212792638; W4254377784,"2004, 2014",64
resources concurrency and local reasoning,3,"Resources, Concurrency and Local Reasoning",W2121405115; W2132761501; W4233381151,"2004, 2007",62
abstracting abstract machines,3,Abstracting abstract machines,W2013885073; W2077255408; W2953057551,"2010, 2011",60
denali,3,Denali,W1977279860; W2150871888; W4235668804,"2002, 2006",60
verifying quantitative reliability for programs that execute on unreliable hardware,3,Verifying quantitative reliability for programs that execute on unreliable hardware,W2105544671; W2492105651; W4236934668,"2013, 2016",60
verifying strong eventual consistency in distributed systems,3,Verifying strong eventual consistency in distributed systems,W2727092525; W3123835709; W3161948876,2017,60
merlin,3,Merlin,W2021234005; W2113709047; W4248587618,"2009, 2014",58
blame and coercion together again for the first time,3,Blame and coercion: together again for the first time,W2088295995; W3000266772; W3205670054,"2015, 2021",57
algebraic decision diagrams and their applications,3,Algebraic Decision Diagrams and Their Applications,W2047650874; W2167435507; W4246239274,"1993, 1997, 2002",56
threesomes with and without blame,3,"Threesomes, with and without blame",W2034355944; W2123171027; W4213243340,"2009, 2010",56
a modal analysis of staged computation,3,A modal analysis of staged computation,W1988177568; W2029408547; W4238059151,"1996, 1999, 2001",52
bi as an assertion language for mutable data structures,3,BI as an assertion language for mutable data structures,W1974265510; W4243994983; W4256027310,"2001, 2011",50
satisfiability modulo theories,3,Satisfiability Modulo Theories,W1481397690; W2137351629; W4407878857,"2009, 2011, 2018",48
locksmith,3,LOCKSMITH,W2045238089; W2158449625; W4249000722,"2006, 2011",45
algorithms for algebraic path properties in concurrent systems of constant treewidth components,3,Algorithms for algebraic path properties in concurrent systems of constant treewidth components,W1821417028; W2880875791; W2949740838,"2016, 2018",44
on thin air reads towards an event structures model of relaxed memory,3,On Thin Air Reads Towards an Event Structures Model of Relaxed Memory,W2531502343; W2944209509; W2950964822,"2016, 2017, 2019",42
thread scheduling for multiprogrammed multiprocessors,3,Thread Scheduling for Multiprogrammed Multiprocessors,W1965708711; W2098147619; W4237877977,"1998, 2001",42
quantum computation and quantum information,3,Quantum computation and quantum information,W2170608991; W2764347725; W2990961515,"2001, 2007, 2012",41
safe zero cost coercions for haskell,3,Safe zero-cost coercions for Haskell,W2106226553; W2500959965; W4255629562,"2014, 2016",40
separating sessions smoothly,3,Separating Sessions Smoothly,W3163410185; W3193512299; W4287179812,"2021, 2023",40
abstraction guided synthesis of synchronization,3,Abstraction-guided synthesis of synchronization,W2069284995; W2122735631; W3216885170,"2010, 2012",39
newtonian program analysis via tensor product,3,Newtonian program analysis via tensor product,W2289508293; W2600895373; W4239564484,"2016, 2017",39
non parametric parametricity,3,Non-parametric parametricity,W2112121519; W2634443969; W4232387295,"2009, 2011",39
