canonical_researchr_id,pc_name,mapped_name_for_matching,query_source,candidate_rank,candidate_ref_author_name,manual_decision,manual_notes
jasminblanchette1,Jasmin Blanchette,Jasmin Blanchette,mapped_name,2,Jasmin Christian Blanchette,,
jennadivincenzowise,Jenna DiVincenzo (Wise),Jenna DiVincenzo (Wise),original_name,1,Jenna DiVincenzo,accept,
jennadivincenzowise,Jenna DiVincenzo (Wise),Jenna DiVincenzo (Wise),mapped_name,2,Jenna DiVincenzo,,
jonathanragankelley,Jonathan Ragan-Kelley,Jonathan Ragan-Kelley,original_name,1,Jonathan Ragan‐Kelley,accept,
jonathanragankelley,Jonathan Ragan-Kelley,Jonathan Ragan-Kelley,mapped_name,2,Jonathan Ragan‐Kelley,,
jonathanragankelley,Jonathan Ragan-Kelley,Jonathan Ragan-Kelley,original_name,3,Jonathan Frankle,,
jonathanragankelley,Jonathan Ragan-Kelley,Jonathan Ragan-Kelley,mapped_name,4,Jonathan Frankle,,
jonathanragankelley,Jonathan Ragan-Kelley,Jonathan Ragan-Kelley,original_name,5,Jonathan Natale,,
jonathanragankelley,Jonathan Ragan-Kelley,Jonathan Ragan-Kelley,mapped_name,6,Jonathan Natale,,
jonathanragankelley,Jonathan Ragan-Kelley,Jonathan Ragan-Kelley,original_name,7,Jonathan Graehl,,
jonathanragankelley,Jonathan Ragan-Kelley,Jonathan Ragan-Kelley,original_name,8,Jonathan Raiman,,
jonathanragankelley,Jonathan Ragan-Kelley,Jonathan Ragan-Kelley,mapped_name,9,Jonathan Graehl,,
jonathanragankelley,Jonathan Ragan-Kelley,Jonathan Ragan-Kelley,mapped_name,10,Jonathan Raiman,,
jonathanragankelley,Jonathan Ragan-Kelley,Jonathan Ragan-Kelley,original_name,11,Jonathan Bell,,
jonathanragankelley,Jonathan Ragan-Kelley,Jonathan Ragan-Kelley,mapped_name,12,Jonathan Bell,,
julienverlaguet,Julien Verlaguet,Julien Verlaguet,original_name,1,Julien Vanegue,,
julienverlaguet,Julien Verlaguet,Julien Verlaguet,mapped_name,2,Julien Vanegue,,
julienverlaguet,Julien Verlaguet,Julien Verlaguet,original_name,3,Julien Lange,,
julienverlaguet,Julien Verlaguet,Julien Verlaguet,mapped_name,4,Julien Lange,,
julienverlaguet,Julien Verlaguet,Julien Verlaguet,original_name,5,"Vanegue, Julien",,
julienverlaguet,Julien Verlaguet,Julien Verlaguet,mapped_name,6,"Vanegue, Julien",,
julienverlaguet,Julien Verlaguet,Julien Verlaguet,original_name,7,Julien Langou,,
julienverlaguet,Julien Verlaguet,Julien Verlaguet,mapped_name,8,Julien Langou,,
julienverlaguet,Julien Verlaguet,Julien Verlaguet,original_name,9,"Lange, Julien",,
julienverlaguet,Julien Verlaguet,Julien Verlaguet,mapped_name,10,"Lange, Julien",,
julienverlaguet,Julien Verlaguet,Julien Verlaguet,original_name,11,Julien Lerouge,,
